A_07_P002496	b0107
A_07_P012003	b2973
A_07_P044420	Z2664
A_07_P042281	c_1836
A_07_P042764	Z3634
A_07_P045475	Z3394
A_07_P047473	Z5897
A_07_P054968	ECs2503
A_07_P035426	c_0043
A_07_P034260	c_4045
A_07_P039303	c_4811
A_07_P008903	b4052
A_07_P009938	b0684
A_07_P048318	Z2371
A_07_P034555	c_4260
A_07_P044904	Z3127
A_07_P063265	ECs2591
A_07_P040129	c_4548
A_07_P007460	b3504
A_07_P008101	b0282
A_07_P006092	b2822
A_07_P000626	b2166
A_07_P042814	Z3690
A_07_P047270	Z5646
A_07_P018472	b1684
A_07_P001332	b1021
A_07_P057264	ECs1101
A_07_P054299	ECs2098
A_07_P060439	ECs1382
A_07_P061005	ECs1596
A_07_P018515	b1692
A_07_P058568	ECs1921
A_07_P035902	c_0200
A_07_P036281	c_3617
A_07_P054753	ECs2266
A_07_P017274	b3667
A_07_P004442	b0798
A_07_P021137	b0405
A_07_P013107	b2410
A_07_P031697	c_2460
A_07_P058579	ECs1932
A_07_P056829	ECs0832
A_07_P041632	c_3200
A_07_P020033	b2632
A_07_P007230	b1258
A_07_P015464	b2028
A_07_P018171	b3429
A_07_P003680	b4225
A_07_P057423	ECs4561
A_07_P010294	b0380
A_07_P010779	b0018
A_07_P030129	c_3016
A_07_P045927	Z4500
A_07_P038886	c_1730
A_07_P016167	b1900
A_07_P033895	c_1108
A_07_P019564	b2532
A_07_P047202	Z5574
A_07_P053843	ECs0350
A_07_P011772	b2925
A_07_P046862	Z1165
A_07_P013602	b2509
A_07_P012566	b3219
A_07_P053506	ECs3483
A_07_P037341	c_5455
A_07_P062373	ECs1262
A_07_P058575	ECs1930
A_07_P001194	b0992
A_07_P041467	c_0384
A_07_P044160	Z2565
A_07_P035202	c_2149
A_07_P006764	b1162
A_07_P033191	c_3598
A_07_P004784	b0866
A_07_P030557	c_3232
A_07_P007238	b1260
A_07_P041209	c_2335
A_07_P016092	b1883
A_07_P020015	b2628
A_07_P059508	ECs0174
A_07_P044081	Z2507
A_07_P007716	b3558
A_07_P054124	ECs0548
A_07_P011404	b4133
A_07_P001825	b2670
A_07_P021060	b0389
A_07_P013499	b2488
A_07_P009626	b1508
A_07_P034681	c_4312
A_07_P042020	c_5098
A_07_P015092	b1946
A_07_P004500	b0809
A_07_P033216	c_3603
A_07_P052135	Z4703
A_07_P062776	ECs1922
A_07_P007946	b0248
A_07_P057579	ECs4593
A_07_P008996	b4071
A_07_P050066	Z1630
A_07_P001507	b1061
A_07_P052194	Z4997
A_07_P044746	Z3082
A_07_P032706	c_3394
A_07_P034987	c_1935
A_07_P053290	ECs3233
A_07_P057710	ECs4668
A_07_P063405	ECs3555
A_07_P057786	ECs4797
A_07_P013962	b2335
A_07_P057060	ECs1055
A_07_P043241	Z4093
A_07_P036687	c_3713
A_07_P049551	Z5049
A_07_P009173	b1416
A_07_P019172	b3879
A_07_P019770	b2573
A_07_P055594	ECs2837
A_07_P033835	c_1046
A_07_P010628	b3991
A_07_P032359	c_2758
A_07_P009360	b1453
A_07_P048022	Z2177
A_07_P046244	Z4877
A_07_P050705	Z1927
A_07_P019062	b3856
A_07_P002027	b2716
A_07_P043237	Z4092
A_07_P003014	b0218
A_07_P015049	b1937
A_07_P004491	b0808
A_07_P045184	Z3283
A_07_P039144	c_4743
A_07_P019906	b2606
A_07_P044167	Z6021
A_07_P017750	b3344
A_07_P040959	c_1431
A_07_P019758	b2571
A_07_P038365	c_1524
A_07_P044788	Z3090
A_07_P056960	ECs0939
A_07_P017731	b3341
A_07_P015347	b2004
A_07_P010484	ABE-0285060
A_07_P015759	b1813
A_07_P046801	Z1150
A_07_P015644	b1790
A_07_P041400	c_5105
A_07_P005654	b3746
A_07_P043191	Z4070
A_07_P051757	Z2719
A_07_P014851	b1375
A_07_P050397	Z1841
A_07_P021405	b0459
A_07_P047655	Z2059
A_07_P036974	c_5282
A_07_P041648	c_3216
A_07_P013758	b2294
A_07_P062314	ECs1240
A_07_P039751	c_4435
A_07_P016493	b0545
A_07_P049363	Z4882
A_07_P041077	c_1005
A_07_P010547	ABE-0285069
A_07_P003589	b2165
A_07_P003540	b2155
A_07_P014183	b2380
A_07_P033326	c_0759
A_07_P012391	b3183
A_07_P043049	Z3945
A_07_P021148	b0407
A_07_P044908	Z3128
A_07_P031563	c_2424
A_07_P000106	b3076
A_07_P047889	Z2123
A_07_P041629	c_3195
